level_0,index,Date,Name,Points,FormatLat,IsBBOX,LatVec,LonVec
908,950,07/16/2019,"Gamma Radiation / Jefferson City, Missouri, United States / 2017","Points:(38.620792--92.287761),(38.517822--92.037531)","(38.620792,-92.287761)|(38.517822,-92.037531)",True,"38.517822, 38.620792, 38.620792, 38.517822","-92.037531, -92.037531, -92.287761, -92.287761"
912,954,07/16/2019,"Solar Radiation / Great Smoky Mountains National Park, Tennessee, United States / 2016","Points:(35.6331--83.9422),(35.6042--83.7831)","(35.6331,-83.9422)|(35.6042,-83.7831)",True,"35.6042, 35.6331, 35.6331, 35.6042","-83.7831, -83.7831, -83.9422, -83.9422"
916,958,07/15/2019,"Gamma Radiation / Detroit, Michigan, United States / 2015","Points:(42.442662--83.288618),(42.246883--82.919946)","(42.442662,-83.288618)|(42.246883,-82.919946)",True,"42.246883, 42.442662, 42.442662, 42.246883","-82.919946, -82.919946, -83.288618, -83.288618"
920,962,07/15/2019,"Gamma Radiation / Duluth, Minnesota, United States / 2018","Points:(46.882959--92.301915),(46.639804--91.943289)","(46.882959,-92.301915)|(46.639804,-91.943289)",True,"46.639804, 46.882959, 46.882959, 46.639804","-91.943289, -91.943289, -92.301915, -92.301915"
930,972,07/14/2019,"Gamma Radiation / Baltimore, Maryland, United States / 2018","Points:(39.195096--76.532849),(39.371782--76.711365)","(39.195096,-76.532849)|(39.371782,-76.711365)",True,"39.195096, 39.371782, 39.371782, 39.195096","-76.532849, -76.532849, -76.711365, -76.711365"
934,976,07/14/2019,"Gamma Radiation / Bay City, Michigan, United States / 2017","Points:(43.623893--83.914114),(43.537836--83.856255)","(43.623893,-83.914114)|(43.537836,-83.856255)",True,"43.537836, 43.623893, 43.623893, 43.537836","-83.856255, -83.856255, -83.914114, -83.914114"
938,980,07/14/2019,"Gamma Radiation / Portland, Maine, United States / 2015","Points:(43.628586--70.081489),(43.734268--70.340688)","(43.628586,-70.081489)|(43.734268,-70.340688)",True,"43.628586, 43.734268, 43.734268, 43.628586","-70.081489, -70.081489, -70.340688, -70.340688"
942,984,07/14/2019,"Gamma Radiation / Orono, Maine, United States / 2018","Points:(39.371649--76.711346),(39.197145--76.533768)","(39.371649,-76.711346)|(39.197145,-76.533768)",True,"39.197145, 39.371649, 39.371649, 39.197145","-76.533768, -76.533768, -76.711346, -76.711346"
946,988,07/14/2019,"Carbon Monoxide / Seattle, Washington, United States / 2016","Points:(47.597222--122.319722),(47.568236--122.308628)","(47.597222,-122.319722)|(47.568236,-122.308628)",True,"47.568236, 47.597222, 47.597222, 47.568236","-122.308628, -122.308628, -122.319722, -122.319722"
950,992,07/11/2019,"Vehicle Speed / US 101, Olympia, Washington, United States / 2018","Points:(47.052733--123.002813),(47.056796--123.013056)","(47.052733,-123.002813)|(47.056796,-123.013056)",True,"47.052733, 47.056796, 47.056796, 47.052733","-123.002813, -123.002813, -123.013056, -123.013056"
