level_0,index,Date,Name,Points,FormatLat,IsBBOX,LatVec,LonVec
1201,1279,04/01/2019,"Specific Conductance / Corwin Springs, Yellowstone River, Yellowstone National Park, United States / 2016","Points:(45.1144--110.7862),(45.1086--110.7966)","(45.1144,-110.7862)|(45.1086,-110.7966)",True,"45.1144, 45.1144, 45.1086, 45.1086","-110.7862, -110.7966, -110.7966, -110.7862"
1204,1282,03/31/2019,"Barometric Pressure / West Saanich Road, Vancouver Island, British Columbia, Canada / 2016","Points:(48.65--123.451),(48.649--123.448)","(48.65,-123.451)|(48.649,-123.448)",True,"48.649, 48.65, 48.65, 48.649","-123.448, -123.448, -123.451, -123.451"
1216,1294,03/27/2019,"Soil Moisture / Bison Flat, Norris Geyser Basin, Yellowstone National Park, United States / 2016","Points:(-110.7063-44.7377),(-110.7019-44.7349)","(-110.7063,44.7377)|(-110.7019,44.7349)",True,"-110.7019, -110.7063, -110.7063, -110.7019","44.7349, 44.7349, 44.7377, 44.7377"
1217,1295,03/24/2019,"Wind Speed Variance / Bison Flat, Norris Geyser Basin, Yellowstone National Park, United States / 2016","Points:(44.7377--110.7063),(44.7349--110.7019)","(44.7377,-110.7063)|(44.7349,-110.7019)",True,"44.7349, 44.7377, 44.7377, 44.7349","-110.7019, -110.7019, -110.7063, -110.7063"
1232,1310,03/08/2019,"Specific Conductance / Old Faithful, Firehole River, Yellowstone National Park, United States / 2018","Points:(44.4642--110.8315),(44.4508--110.8104)","(44.4642,-110.8315)|(44.4508,-110.8104)",True,"44.4508, 44.4642, 44.4642, 44.4508","-110.8104, -110.8104, -110.8315, -110.8315"
1235,1313,03/08/2019,"Specific Conductance / Firehole River, Western Yellowstone National Park, United States / 2014","Points:(44.6438--110.87523),(44.61369--110.83119)","(44.6438,-110.87523)|(44.61369,-110.83119)",True,"44.61369, 44.6438, 44.6438, 44.61369","-110.83119, -110.83119, -110.87523, -110.87523"
1236,1314,03/08/2019,"Specific Conductance / Gardner River, Yellowstone National Park, United States / 2018","Points:(45.018821--110.697),(44.99048--110.69026)","(45.018821,-110.697)|(44.99048,-110.69026)",True,"44.99048, 45.018821, 45.018821, 44.99048","-110.69026, -110.69026, -110.697, -110.697"
1249,1327,03/02/2019,"Total Magnetic Field / Pea Ridge Iron Mine, Southeastern Missouri, United States / 2014","Points:(38.3211--91.2904),(38--90.8788)","(38.3211,-91.2904)|(38,-90.8788)",True,"38, 38.3211, 38.3211, 38","-90.8788, -90.8788, -91.2904, -91.2904"
1251,1329,02/26/2019,"Water Levels / Colorado River, Fort Yuma Indian Reservation, California, United States / 2018","Points:(32.8122666--114.5149494),(32.73171354--114.6327306)","(32.8122666,-114.5149494)|(32.73171354,-114.6327306)",True,"32.8122666, 32.8122666, 32.73171354, 32.73171354","-114.5149494, -114.6327306, -114.6327306, -114.5149494"
1256,1334,02/26/2019,"Vehicle Counts / Statewide Alabama, United States / 2018","Points:(30.4158125674--84.9557295602),(35.1576266414--88.4743285149)","(30.4158125674,-84.9557295602)|(35.1576266414,-88.4743285149)",True,"30.4158125674, 35.1576266414, 35.1576266414, 30.4158125674","-84.9557295602, -84.9557295602, -88.4743285149, -88.4743285149"
1262,1340,02/20/2019,"Mean Water Velocity / Warren H Brock Resevoir, Imperial County, California, United States / 2018","Points:(32.7094932--115.0254425),(32.70557669--115.0344429)","(32.7094932,-115.0254425)|(32.70557669,-115.0344429)",True,"32.7094932, 32.7094932, 32.70557669, 32.70557669","-115.0254425, -115.0344429, -115.0344429, -115.0254425"
1267,1345,02/19/2019,"Water Temperature / Alameda Creek, Alameda County, California, United States / 2018","Points:(37.4974356--121.7735644),(37.4986111--121.7794444)","(37.4974356,-121.7735644)|(37.4986111,-121.7794444)",True,"37.4974356, 37.4986111, 37.4986111, 37.4974356","-121.7735644, -121.7735644, -121.7794444, -121.7794444"
1271,1349,02/10/2019,"Wind Speed / Ireland Coastal Waters, Celtic Sea, Atlantic Ocean / 2014","Points:(57--16),(51.2--5.4)","(57,-16)|(51.2,-5.4)",True,"57, 57, 51.2, 51.2","-16, -5.4, -5.4, -16"
1287,1365,01/29/2019,"Annual Average Daily Vehicle Counts / Jackson County, Illinois, United States / 2018","Points:(37.600889--89.154717),(37.955094--89.594389)","(37.600889,-89.154717)|(37.955094,-89.594389)",True,"37.600889, 37.955094, 37.955094, 37.600889","-89.154717, -89.154717, -89.594389, -89.594389"
1293,1371,01/29/2019,"Annual Average Daily Vehicle Counts / Jasper County, Illinois, United States / 2018","Points:(38.854728--88.360092),(39.174412--87.949911)","(38.854728,-88.360092)|(39.174412,-87.949911)",True,"39.174412, 39.174412, 38.854728, 38.854728","-87.949911, -88.360092, -88.360092, -87.949911"
1301,1379,01/28/2019,"Vehicle Counts / Lake County, Indiana, United States / 2018","Points:(41.753503--87.52877),(41.122043--87.206873)","(41.753503,-87.52877)|(41.122043,-87.206873)",True,"41.122043, 41.753503, 41.753503, 41.122043","-87.206873, -87.206873, -87.52877, -87.52877"
1302,1380,01/24/2019,"Annual Average Daily Vehicle Counts / Henry County, Illinois, United States / 2018","Points:(41.15194--90.436953),(41.583476--89.863161)","(41.15194,-90.436953)|(41.583476,-89.863161)",True,"41.583476, 41.583476, 41.15194, 41.15194","-89.863161, -90.436953, -90.436953, -89.863161"
1303,1381,01/24/2019,"Annual Average Daily Vehicle Counts / Iroquois County, Illinois, United States / 2017","Points:(40.489184--88.116655),(41.009356--87.52745)","(40.489184,-88.116655)|(41.009356,-87.52745)",True,"41.009356, 41.009356, 40.489184, 40.489184","-87.52745, -88.116655, -88.116655, -87.52745"
1310,1388,01/21/2019,"Annual Average Daily Vehicle Counts / Hamilton County, Illinois, United States / 2017","Points:(42.494711--88.939763),(42.155761--88.706998)","(42.494711,-88.939763)|(42.155761,-88.706998)",True,"42.155761, 42.494711, 42.494711, 42.155761","-88.706998, -88.706998, -88.939763, -88.939763"
1311,1389,01/21/2019,"Annual Average Daily Vehicle Counts / Hancock County, Illinois, United States / 2017","Points:(40.201971--91.505094),(40.639078--90.904004)","(40.201971,-91.505094)|(40.639078,-90.904004)",True,"40.639078, 40.639078, 40.201971, 40.201971","-90.904004, -91.505094, -91.505094, -90.904004"
1312,1390,01/21/2019,"Annual Average Daily Vehicle Counts / Henderson County, Illinois, United States / 2017","Points:(40.639581--91.183349),(41.068683--90.786275)","(40.639581,-91.183349)|(41.068683,-90.786275)",True,"41.068683, 41.068683, 40.639581, 40.639581","-90.786275, -91.183349, -91.183349, -90.786275"
1313,1391,01/21/2019,"Annual Average Daily Vehicle Counts / Hardin County, Illinois, United States / 2017","Points:(37.599968--88.412163),(37.470963--88.088997)","(37.599968,-88.412163)|(37.470963,-88.088997)",True,"37.470963, 37.599968, 37.599968, 37.470963","-88.088997, -88.088997, -88.412163, -88.412163"
1314,1392,01/07/2019,"Annual Average Daily Vehicle Counts / Fulton County, Illinois, United States / 2018","Points:(40.189292--90.451524),(40.710919--89.872854)","(40.189292,-90.451524)|(40.710919,-89.872854)",True,"40.710919, 40.710919, 40.189292, 40.189292","-89.872854, -90.451524, -90.451524, -89.872854"
1315,1393,01/07/2019,"Annual Average Daily Vehicle Counts / Gallatin County, Illinois, United States / 2017","Points:(37.600279--88.374164),(37.903951--88.033179)","(37.600279,-88.374164)|(37.903951,-88.033179)",True,"37.903951, 37.903951, 37.600279, 37.600279","-88.033179, -88.374164, -88.374164, -88.033179"
1316,1394,01/07/2019,"Annual Average Daily Vehicle Counts / Grundy County, Illinois, United States / 2017","Points:(41.109656--88.585224),(41.462236--88.252738)","(41.109656,-88.585224)|(41.462236,-88.252738)",True,"41.462236, 41.462236, 41.109656, 41.109656","-88.252738, -88.585224, -88.585224, -88.252738"
1332,1410,12/31/2018,"Annual Average Daily Vehicle Counts / Franklin County, Illinois, United States / 2018","Points:(37.862361--89.15069),(38.124569--88.704606)","(37.862361,-89.15069)|(38.124569,-88.704606)",True,"38.124569, 38.124569, 37.862361, 37.862361","-88.704606, -89.15069, -89.15069, -88.704606"
1333,1411,12/31/2018,"Annual Average Daily Vehicle Counts / Fayette County, Illinois, United States / 2018","Points:(38.826765--88.69569),(39.216562--89.249857)","(38.826765,-88.69569)|(39.216562,-89.249857)",True,"38.826765, 39.216562, 39.216562, 38.826765","-88.69569, -88.69569, -89.249857, -89.249857"
1334,1412,12/31/2018,"Annual Average Daily Vehicle Counts / Ford County, Illinois, United States / 2017","Points:(40.400433--87.931647),(40.993252--88.246879)","(40.400433,-87.931647)|(40.993252,-88.246879)",True,"40.400433, 40.993252, 40.993252, 40.400433","-87.931647, -87.931647, -88.246879, -88.246879"
1355,1433,12/25/2018,"Annual Average Daily Vehicle Counts / Effingham County, Illinois, United States / 2018","Points:(39.216223--88.80544),(38.911168--88.362351)","(39.216223,-88.80544)|(38.911168,-88.362351)",True,"38.911168, 39.216223, 39.216223, 38.911168","-88.362351, -88.362351, -88.80544, -88.80544"
1356,1434,12/25/2018,"Annual Average Daily Vehicle Counts / Edgar County, Illinois, United States / 2017","Points:(39.483389--87.959196),(39.882718--87.53414)","(39.483389,-87.959196)|(39.882718,-87.53414)",True,"39.882718, 39.882718, 39.483389, 39.483389","-87.53414, -87.959196, -87.959196, -87.53414"
1357,1435,12/25/2018,"Annual Average Daily Vehicle Counts / Edwards County, Illinois, United States / 2017","Points:(38.570117--87.955729),(38.256762--88.150357)","(38.570117,-87.955729)|(38.256762,-88.150357)",True,"38.570117, 38.570117, 38.256762, 38.256762","-87.955729, -88.150357, -88.150357, -87.955729"
1389,1469,12/18/2018,"Annual Average Daily Vehicle Counts / DeKalb County, Illinois, United States / 2017","Points:(42.151798--88.93922),(41.63225--88.602239)","(42.151798,-88.93922)|(41.63225,-88.602239)",True,"41.63225, 42.151798, 42.151798, 41.63225","-88.602239, -88.602239, -88.93922, -88.93922"
1390,1470,12/18/2018,"Annual Average Daily Vehicle Counts / DeWitt County, Illinois, United States / 2017","Points:(40.049297--89.144066),(40.280958--88.575738)","(40.049297,-89.144066)|(40.280958,-88.575738)",True,"40.280958, 40.280958, 40.049297, 40.049297","-88.575738, -89.144066, -89.144066, -88.575738"
1391,1471,12/18/2018,"Annual Average Daily Vehicle Counts / Douglas County, Illinois, United States / 2017","Points:(39.651958--88.471308),(39.878665--87.9377)","(39.651958,-88.471308)|(39.878665,-87.9377)",True,"39.878665, 39.878665, 39.651958, 39.651958","-87.9377, -88.471308, -88.471308, -87.9377"
1392,1472,12/18/2018,"Annual Average Daily Vehicle Counts / DuPage County, Illinois, United States / 2018","Points:(41.725266--88.261239),(41.992932--87.920872)","(41.725266,-88.261239)|(41.992932,-87.920872)",True,"41.992932, 41.992932, 41.725266, 41.725266","-87.920872, -88.261239, -88.261239, -87.920872"
1401,1481,12/16/2018,"Annual Average Daily Vehicle Counts / Cook County, Illinois, United States / 2018","Points:(41.470805--87.527476),(42.153228--88.236786)","(41.470805,-87.527476)|(42.153228,-88.236786)",True,"41.470805, 42.153228, 42.153228, 41.470805","-87.527476, -87.527476, -88.236786, -88.236786"
1402,1482,12/16/2018,"Annual Average Daily Vehicle Counts / Cumberland County, Illinois, United States / 2017","Points:(39.374202--88.4708),(39.174279--88.008754)","(39.374202,-88.4708)|(39.174279,-88.008754)",True,"39.174279, 39.374202, 39.374202, 39.174279","-88.008754, -88.008754, -88.4708, -88.4708"
1403,1483,12/16/2018,"Annual Average Daily Vehicle Counts / Crawford County, Illinois, United States / 2017","Points:(39.174283--87.949511),(38.852525--87.534017)","(39.174283,-87.949511)|(38.852525,-87.534017)",True,"38.852525, 39.174283, 39.174283, 38.852525","-87.534017, -87.534017, -87.949511, -87.949511"
1410,1490,12/14/2018,"Annual Average Daily Vehicle Counts / Clay County, Illinois, United States / 2017","Points:(38.914858--88.69367),(38.601137--88.249503)","(38.914858,-88.69367)|(38.601137,-88.249503)",True,"38.601137, 38.914858, 38.914858, 38.601137","-88.249503, -88.249503, -88.69367, -88.69367"
1411,1491,12/14/2018,"Annual Average Daily Vehicle Counts / Coles County, Illinois, United States / 2017","Points:(39.685105--87.966057),(39.374932--88.470226)","(39.685105,-87.966057)|(39.374932,-88.470226)",True,"39.685105, 39.685105, 39.374932, 39.374932","-87.966057, -88.470226, -88.470226, -87.966057"
1412,1492,12/14/2018,"Annual Average Daily Vehicle Counts / Clinton County, Illinois, United States / 2018","Points:(38.416057--89.704157),(38.735511--89.138134)","(38.416057,-89.704157)|(38.735511,-89.138134)",True,"38.735511, 38.735511, 38.416057, 38.416057","-89.138134, -89.704157, -89.704157, -89.138134"
1419,1499,12/09/2018,"Annual Average Daily Vehicle Counts / Cass County, Illinois, United States / 2017","Points:(39.876994--90.582515),(40.11318--89.997034)","(39.876994,-90.582515)|(40.11318,-89.997034)",True,"40.11318, 40.11318, 39.876994, 39.876994","-89.997034, -90.582515, -90.582515, -89.997034"
1420,1500,12/09/2018,"Annual Average Daily Vehicle Counts / Champaign County, Illinois, United States / 2017","Points:(40.398614--88.459739),(39.880082--87.938133)","(40.398614,-88.459739)|(39.880082,-87.938133)",True,"39.880082, 40.398614, 40.398614, 39.880082","-87.938133, -87.938133, -88.459739, -88.459739"
1421,1501,12/09/2018,"Annual Average Daily Vehicle Counts / Christian County, Illinois, United States / 2017","Points:(39.349897--89.529913),(39.654154--89.025769)","(39.349897,-89.529913)|(39.654154,-89.025769)",True,"39.654154, 39.654154, 39.349897, 39.349897","-89.025769, -89.529913, -89.529913, -89.025769"
1422,1502,12/09/2018,"Annual Average Daily Vehicle Counts / Clark County, Illinois, United States / 2017","Points:(39.48086--88.014569),(39.157741--87.629706)","(39.48086,-88.014569)|(39.157741,-87.629706)",True,"39.157741, 39.48086, 39.48086, 39.157741","-87.629706, -87.629706, -88.014569, -88.014569"
1434,1514,12/08/2018,"Annual Average Daily Vehicle Counts / Adams County, Illinois, United States / 2017","Points:(40.200124--91.50526),(39.757766--90.91653)","(40.200124,-91.50526)|(39.757766,-90.91653)",True,"39.757766, 40.200124, 40.200124, 39.757766","-90.91653, -90.91653, -91.50526, -91.50526"
1440,1520,12/08/2018,"Annual Average Daily Vehicle Counts / Alexander County, Illinois, United States / 2017","Points:(37.33332--89.488482),(36.981006--89.136267)","(37.33332,-89.488482)|(36.981006,-89.136267)",True,"36.981006, 37.33332, 37.33332, 36.981006","-89.136267, -89.136267, -89.488482, -89.488482"
1441,1521,12/08/2018,"Annual Average Daily Vehicle Counts / Carroll County, Illinois, United States / 2017","Points:(42.193509--90.31579),(41.930476--89.687157)","(42.193509,-90.31579)|(41.930476,-89.687157)",True,"41.930476, 42.193509, 42.193509, 41.930476","-89.687157, -89.687157, -90.31579, -90.31579"
1445,1525,12/08/2018,"Annual Average Daily Vehicle Counts / Brown County, Illinois, United States / 2017","Points:(40.10428--90.913406),(39.839682--90.572912)","(40.10428,-90.913406)|(39.839682,-90.572912)",True,"39.839682, 40.10428, 40.10428, 39.839682","-90.572912, -90.572912, -90.913406, -90.913406"
1446,1526,12/08/2018,"Annual Average Daily Vehicle Counts / Bureau County, Illinois, United States / 2017","Points:(41.583156--89.861949),(41.310667--89.165159)","(41.583156,-89.861949)|(41.310667,-89.165159)",True,"41.310667, 41.583156, 41.583156, 41.310667","-89.165159, -89.165159, -89.861949, -89.861949"
1455,1556,11/17/2018,"Vehicle Counts / Central New Mexico, New Mexico, United States / 2016","Points:(36.219809--107.624291),(34.260114--105.313279)","(36.219809,-107.624291)|(34.260114,-105.313279)",True,"34.260114, 36.219809, 36.219809, 34.260114","-105.313279, -105.313279, -107.624291, -107.624291"
1498,1666,09/02/2018,"Vehicle Counts / Statewide Minnesota, United States / 2002","Points:(48.97--97.12),(43.49--91.47)","(48.97,-97.12)|(43.49,-91.47)",True,"43.49, 48.97, 48.97, 43.49","-91.47, -91.47, -97.12, -97.12"
1499,1667,08/29/2018,"Global Horizontal Irradiance / South Park, Colorado, United States / 1997","Points:(39.271--105.627),(39.275--105.622)","(39.271,-105.627)|(39.275,-105.622)",True,"39.275, 39.275, 39.271, 39.271","-105.622, -105.627, -105.627, -105.622"
1500,1668,08/29/2018,"Global Horizontal Irradiance / South Park, Colorado, United States / 1998","Points:(39.2711--105.6266),(39.2753--105.6218)","(39.2711,-105.6266)|(39.2753,-105.6218)",True,"39.2753, 39.2753, 39.2711, 39.2711","-105.6218, -105.6266, -105.6266, -105.6218"
1520,1688,08/28/2018,"Global Horizontal Irradiance / Las Vegas, Nevada, United States / 2006","Points:(36.113--115.145),(36.115--115.144)","(36.113,-115.145)|(36.115,-115.144)",True,"36.115, 36.115, 36.113, 36.113","-115.144, -115.145, -115.145, -115.144"
1556,1728,08/16/2018,"Hourly Traffic on Metropolitan Transportation Authority Bridges and Tunnels / New York Metropolitan Area, New York, United States / 2010","Points:(40.877861--74.045556),(40.573444--73.793333)","(40.877861,-74.045556)|(40.573444,-73.793333)",True,"40.573444, 40.877861, 40.877861, 40.573444","-73.793333, -73.793333, -74.045556, -74.045556"
1564,1736,08/11/2018,"Geographic Contour Lines / Buffalo Creek, Colorado, United States / 2013","Points:(39.413656--105.28844),(39.372082--105.24874)","(39.413656,-105.28844)|(39.372082,-105.24874)",True,"39.372082, 39.413656, 39.413656, 39.372082","-105.24874, -105.24874, -105.28844, -105.28844"
1565,1737,08/11/2018,"Geographic Contour Lines / Brook Forrest, Colorado, United States / 2013","Points:(39.601142--105.407567),(39.566101--105.3305)","(39.601142,-105.407567)|(39.566101,-105.3305)",True,"39.566101, 39.601142, 39.601142, 39.566101","-105.3305, -105.3305, -105.407567, -105.407567"
1566,1738,08/11/2018,"Geographic Contour Lines / Central City, Colorado, United States / 2013","Points:(39.8387--105.551362),(39.747126--105.468799)","(39.8387,-105.551362)|(39.747126,-105.468799)",True,"39.747126, 39.8387, 39.8387, 39.747126","-105.468799, -105.468799, -105.551362, -105.551362"
1567,1739,08/11/2018,"Geographic Contour Lines / Chatfield, Colorado, United States / 2013","Points:(39.567827--105.085382),(39.490499--105.018599)","(39.567827,-105.085382)|(39.490499,-105.018599)",True,"39.490499, 39.567827, 39.567827, 39.490499","-105.018599, -105.018599, -105.085382, -105.085382"
1568,1740,08/11/2018,"Geographic Contour Lines / South Clear Creek County, Colorado, United States / 2013","Points:(39.621288--105.546771),(39.565525--105.404376)","(39.621288,-105.546771)|(39.565525,-105.404376)",True,"39.565525, 39.621288, 39.621288, 39.565525","-105.404376, -105.404376, -105.546771, -105.546771"
1569,1741,08/11/2018,"Geographic Contour Lines / Commerce City, Colorado, United States / 2013","Points:(39.931258--104.970463),(39.796224--104.693421)","(39.931258,-104.970463)|(39.796224,-104.693421)",True,"39.796224, 39.931258, 39.931258, 39.796224","-104.693421, -104.693421, -104.970463, -104.970463"
1570,1742,08/11/2018,"Geographic Contour Lines / Conifer, Colorado, United States / 2013","Points:(39.537734--105.323035),(39.500384--105.238558)","(39.537734,-105.323035)|(39.500384,-105.238558)",True,"39.500384, 39.537734, 39.537734, 39.500384","-105.238558, -105.238558, -105.323035, -105.323035"
1571,1743,08/11/2018,"Geographic Contour Lines / Coulson Gulch, Colorado, United States / 2013","Points:(40.257387--105.427382),(40.220204--105.367894)","(40.257387,-105.427382)|(40.220204,-105.367894)",True,"40.220204, 40.257387, 40.257387, 40.220204","-105.367894, -105.367894, -105.427382, -105.427382"
1575,1749,08/11/2018,"Reactive Power Grid Loads / Naperville, Illinois, United States / 2018","Points:(41.8187--88.2349),(41.7276--88.2541)","(41.8187,-88.2349)|(41.7276,-88.2541)",True,"41.8187, 41.8187, 41.7276, 41.7276","-88.2349, -88.2541, -88.2541, -88.2349"
1595,1770,08/08/2018,"Number of Noise Exceedances by Airline / San Francisco, California, United States / 2005","Points:(37.604--123.0137),(37.8324--122.3549)","(37.604,-123.0137)|(37.8324,-122.3549)",True,"37.8324, 37.8324, 37.604, 37.604","-122.3549, -123.0137, -123.0137, -122.3549"
1609,1784,08/08/2018,"Geographic Contour Lines / Brighton, Colorado, United States / 2013","Points:(40.009939--104.869568),(39.900272--104.714862)","(40.009939,-104.869568)|(39.900272,-104.714862)",True,"39.900272, 40.009939, 40.009939, 39.900272","-104.714862, -104.714862, -104.869568, -104.869568"
1610,1785,08/08/2018,"Geographic Contour Lines / Bennet, Colorado, United States / 2013","Points:(39.868197--104.445101),(39.757622--104.33983)","(39.868197,-104.445101)|(39.757622,-104.33983)",True,"39.757622, 39.868197, 39.868197, 39.757622","-104.33983, -104.33983, -104.445101, -104.445101"
1611,1786,08/06/2018,"Geographic Contour Lines / Applewood, Colorado, United States / 2013","Points:(39.77994--105.204823),(39.715445--105.130908)","(39.77994,-105.204823)|(39.715445,-105.130908)",True,"39.715445, 39.77994, 39.77994, 39.715445","-105.130908, -105.130908, -105.204823, -105.204823"
1612,1787,08/06/2018,"Geographic Contour Lines / West Arapahoe County, Colorado, United States / 2013","Points:(39.645816--105.069932),(39.565702--105.01935)","(39.645816,-105.069932)|(39.565702,-105.01935)",True,"39.565702, 39.645816, 39.645816, 39.565702","-105.01935, -105.01935, -105.069932, -105.069932"
1613,1788,08/06/2018,"Geographic Contour Lines / Aspen Park, Colorado, United States / 2013","Points:(39.563706--105.314351),(39.52935--105.263769)","(39.563706,-105.314351)|(39.52935,-105.263769)",True,"39.52935, 39.563706, 39.563706, 39.52935","-105.263769, -105.263769, -105.314351, -105.314351"
1614,1789,08/06/2018,"Geographic Contour Lines / Barr Lake, Colorado, United States / 2013","Points:(40.010713--104.782768),(39.901075--104.594243)","(40.010713,-104.782768)|(39.901075,-104.594243)",True,"39.901075, 40.010713, 40.010713, 39.901075","-104.594243, -104.594243, -104.782768, -104.782768"
1615,1790,08/06/2018,"Geographic Contour Lines / Beaver Brook Canyon, Colorado, United States / 2013","Points:(39.714318--105.467423),(39.678492--105.393773)","(39.714318,-105.467423)|(39.678492,-105.393773)",True,"39.678492, 39.714318, 39.714318, 39.678492","-105.393773, -105.393773, -105.467423, -105.467423"
1616,1791,08/06/2018,"Bicycle Rental Duration / Montreal, Canada / 2014","Points:(45.732427--74.058519),(45.336024--73.438892)","(45.732427,-74.058519)|(45.336024,-73.438892)",True,"45.336024, 45.732427, 45.732427, 45.336024","-73.438892, -73.438892, -74.058519, -74.058519"
1620,1795,08/05/2018,"Vehicle Counts / Statewide Colorado Highway System, United States / 2014","Points:(41--109.05),(37.01--102.05)","(41,-109.05)|(37.01,-102.05)",True,"37.01, 41, 41, 37.01","-102.05, -102.05, -109.05, -109.05"
1623,1798,08/05/2018,"Geographic Contour Lines / East Adams Colorado, United States / 2013","Points:(39.945056--104.832506),(39.819483--104.610869)","(39.945056,-104.832506)|(39.819483,-104.610869)",True,"39.819483, 39.945056, 39.945056, 39.819483","-104.610869, -104.610869, -104.832506, -104.832506"
1625,1800,08/05/2018,"Vehicle Counts / Denver Regional Area Colorado, United States ","Points:(40.4504--105.9891),(38.893--104.1033)","(40.4504,-105.9891)|(38.893,-104.1033)",True,"38.893, 40.4504, 40.4504, 38.893","-104.1033, -104.1033, -105.9891, -105.9891"
1626,1801,08/05/2018,"Geographic Contour Lines / East Allenspark Colorado, United States / 2013 ","Points:(40.326678--105.497128),(40.208637--105.341793)","(40.326678,-105.497128)|(40.208637,-105.341793)",True,"40.208637, 40.326678, 40.326678, 40.208637","-105.341793, -105.341793, -105.497128, -105.497128"
1628,1803,08/03/2018,"Vehicle Counts / Statewide Iowa, United States / 2015","Points:(49.04--104.01),(35.69--87.27)","(49.04,-104.01)|(35.69,-87.27)",True,"49.04, 49.04, 35.69, 35.69","-104.01, -87.27, -87.27, -104.01"
1629,1804,08/03/2018,"Bicycle Counts / London Borough Of Camden, United Kingdom","Points:(51.5391070053--0.1362733433),(51.5346066329--0.1270881728)","(51.5391070053,-0.1362733433)|(51.5346066329,-0.1270881728)",True,"51.5346066329, 51.5391070053, 51.5391070053, 51.5346066329","-0.1270881728, -0.1270881728, -0.1362733433, -0.1362733433"
1630,1805,08/03/2018,"Nitrogen Dioxide Levels / London Borough of Camden, United Kingdom","Points:(51.582527--0.239341),(51.514475--0.095153)","(51.582527,-0.239341)|(51.514475,-0.095153)",True,"51.514475, 51.582527, 51.582527, 51.514475","-0.095153, -0.095153, -0.239341, -0.239341"
1631,1809,08/02/2018,"Ridership Counts / Chicago Transit Authority,  Chicago, Illinois, United States / 2001","Points:(-87.9395-41.6446),(-87.5245-42.0229)","(-87.9395,41.6446)|(-87.5245,42.0229)",True,"-87.9395, -87.9395, -87.5245, -87.5245","41.6446, 42.0229, 42.0229, 41.6446"
1682,1872,07/30/2018,"Infrastructure Temperature / Chicago, Illinois, United States","Points:(42.295--88.242),(41.4492--87.5663)","(42.295,-88.242)|(41.4492,-87.5663)",True,"41.4492, 42.295, 42.295, 41.4492","-87.5663, -87.5663, -88.242, -88.242"
1683,1888,07/26/2018,"Vehicle Speed / I-205 Freeway System Portland, Oregon, United States / 2011","Points:(45.7167--122.6627),(45.3711--122.4803)","(45.7167,-122.6627)|(45.3711,-122.4803)",True,"45.3711, 45.7167, 45.7167, 45.3711","-122.4803, -122.4803, -122.6627, -122.6627"
1685,1890,07/26/2018,"Vehicle Counts / New York Metropolitan Area, New York, United States / 2012-2013","Points:(41.29--74.96),(40.35--72.02)","(41.29,-74.96)|(40.35,-72.02)",True,"40.35, 41.29, 41.29, 40.35","-72.02, -72.02, -74.96, -74.96"
1688,1894,07/22/2018,"Vehicle Classification Counts  / DOT Region 5 / New York, United States / 2015","Points:(43.4475--79.7574),(42.0008--77.7716)","(43.4475,-79.7574)|(42.0008,-77.7716)",True,"42.0008, 43.4475, 43.4475, 42.0008","-77.7716, -77.7716, -79.7574, -79.7574"
1689,1895,07/22/2018,"Vehicle Speed / DOT Region 1 / Statewide New York, United States / 2016","Points:(44.5686--74.9403),(42.0615--73.4004)","(44.5686,-74.9403)|(42.0615,-73.4004)",True,"42.0615, 44.5686, 44.5686, 42.0615","-73.4004, -73.4004, -74.9403, -74.9403"
1690,1896,07/22/2018,"Vehicle Speed / DOT Region 2 / Statewide New York, United States / 2016","Points:(44.5308--76.1959),(42.7092--73.4698)","(44.5308,-76.1959)|(42.7092,-73.4698)",True,"42.7092, 44.5308, 44.5308, 42.7092","-73.4698, -73.4698, -76.1959, -76.1959"
1694,1900,07/22/2018,"Vehicle Speed / DOT Region 6 / Statewide New York, United States / 2016","Points:(43.0329--78.2401),(42.0051--75.3973)","(43.0329,-78.2401)|(42.0051,-75.3973)",True,"42.0051, 43.0329, 43.0329, 42.0051","-75.3973, -75.3973, -78.2401, -78.2401"
1695,1901,07/22/2018,"Vehicle Speed / DOT Region 7 / Statewide New York, United States / 2016","Points:(45.03--77.39),(43.21--73.29)","(45.03,-77.39)|(43.21,-73.29)",True,"43.21, 45.03, 45.03, 43.21","-73.29, -73.29, -77.39, -77.39"
1696,1902,07/22/2018,"Vehicle Speed / DOT Region 8 / Statewide New York, United States / 2016","Points:(42.87--75.31),(40.51--71.8)","(42.87,-75.31)|(40.51,-71.8)",True,"40.51, 42.87, 42.87, 40.51","-71.8, -71.8, -75.31, -75.31"
1697,1903,07/22/2018,"Vehicle Speed / DOT Region 9 / Statewide New York, United States / 2016","Points:(42.59--76.83),(41.82--74.74)","(42.59,-76.83)|(41.82,-74.74)",True,"41.82, 42.59, 42.59, 41.82","-74.74, -74.74, -76.83, -76.83"
1698,1904,07/22/2018,"Vehicle Speed / DOT Region 10 / Statewide New York, United States / 2016","Points:(41.41--74.69),(40.39--71.6)","(41.41,-74.69)|(40.39,-71.6)",True,"40.39, 41.41, 41.41, 40.39","-71.6, -71.6, -74.69, -74.69"
1699,1905,07/22/2018,"Vehicle Speed / DOT Region 11 / Statewide New York, United States / 2016","Points:(41.07--74.69),(40.39--73.43)","(41.07,-74.69)|(40.39,-73.43)",True,"40.39, 41.07, 41.07, 40.39","-73.43, -73.43, -74.69, -74.69"
